Title,Description,Contributor #1,Contributor #2,Contributor #3,Issue #,Issue,Year,Page,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to Buy it Now
Marching Toy Soldiers,"With figures that are easy to carve, it's simple to create a battalion to march through the holidays","Barto, Renzo",,,33,Holiday,2005,64-66,Toy Soldiers,Holiday,Caricatures,,,
Chip Carved Leaf Ornaments,The small size of these ornaments - and the simple tool list - makes them great projects for carvers on the go,"Mckenzie, Barry",,,33,Holiday,2005,67-69,Chip Carving,Ornaments,Leaf,,,
Miniature Chickadee Pin,This charming project can be power carved and painted in one weekend,"Calef, George",,,33,Holiday,2005,70-72,Pins,Birds,Songbird,Chickadee,Power Carving,
Celtic Cross Bible Box,Only a few basic tools are needed to carve this classic design,"Cruze, Wayne",,,33,Holiday,2005,74-77,Celtic Knotwork,Cross,Bible Box,,,
Twisted Spiral Ornament,Carve this seemingly complex design in eight easy steps,"Kent, Carol",,,33,Holiday,2005,78-79,Spiral,Ornaments,Whittling,,,
Santa Spiral Ornament,Add a new twist to a classic Santa Ornament,"Watts, Lenard",,,33,Holiday,2005,80,Santas,Ornaments,Spiral,Carver's Challenge,,
Wood Review Spanish Cedar,,"Schroeder, Roger",,,33,Holiday,2005,82,Spanish Cedar,Wood Reviews,Info,,,
Quick and Easy Nose,Six easy steps for consistent results,"Oegema, Jan",,,33,Holiday,2005,96,Nose,Realistic,Technique,,,
Product Review,Foredom Series SR flexible shaft tool and Foredom Bristle Discs,Staff,,,34,Spring,2006,14,foredom series,flexible shaft tool,foredom,bristle discs,,
Judge's Critique,Use references to achieve high realism in your carvings,"Hajny, Desiree",,,34,Spring,2006,18,Otter,Wildlife,Animals,,,
Relief Column,Rooster &amp; Hen,"Irish, Lora S",,,34,Spring,2006,20-21,Rooster,Hen,Eggs,Relief,,
Carving on a Large Scale,Large carvings are an impressive challenge to any carver's art and skills,"Burton, Mike",,,34,Spring,2006,22-26,Patterns,Female,Log,Surprises,Pitch,
Harlequin Duck,Project pattern from Stiller Patterns,"Stiller, Gordon",,,34,Spring,2006,28-29,Birds,Ducks,Harlequin,,,
All About Clamps &amp; Vises,Essential hardware to aid your carving,"Schroeder, Roger",,,34,Spring,2006,30-31,Clamps,Vises,Holding,,,
Art of Fire with Bob Swain,"Create a worn, antiqued look for your carvings by finishing with flames","Badger, Curtis","Badger, Tom",,34,Spring,2006,32-35,Birds,Antique,Fire,Finishing,,
Floral Chip Carvings,Create your own custom basket lids or carve a traditional plaque with these delicate designs,"Janssen, Darrell",,,34,Spring,2006,36-38,Flowers,Chip Carving,Basket lids,Plaques,Wildflowers,
Carving Out a Place in the World,Building a business around custom-carved furniture,McCoury,,,34,Spring,2006,39,Dragon,Furniture,Mantle,,,
Carver's Lapboard,No room in the house is off limits with this portable carving station made from scrap,"Brown, Charles",,,34,Spring,2006,40,Poor Man's Tool Contest,Portable,Station,,,
Catch and Release?,Use simple texturing techniques to detail this whimsical carving,"Fenton, Gary",,,34,Spring,2006,41-43,Bear,Fish,Caricatures,,,
Contemporary Carved Hearts,Quick and easy projects make eye-catching pins or magnets,"Joslyn, Cyndi",,,34,Spring,2006,44-45,Hearts,Pins,Magnets,,,
The Sculpture of Tom Bazis,Unique carvings crafted for individual clients,"Lambert, Gustave","Bazis, Tom",,34,Spring,2006,46,Rocking Chair,Sculpture,Abstract,Mask,Wet Wood,
Carving a Half Hull Ship Model,"Use traditional carving techniques to create a scale model of the historic ship ""Raven""","Squarebriggs, Robert",,,34,Spring,2006,48-55,Ship Model,Half Hull,Raven,,,
The Whimsical World of David Sabol,CCA member strives for a lighthearted look,"Schroeder, Roger","Sabol, David",,34,Spring,2006,56-57,Caricatures,Animals,Artist Profile,,,
Shop-Made Rotary Carving Vise,"Create this clever, hold-anything vise for less than $30","Burton, Mike",,,34,Spring,2006,58-61,Vise,Home-made tools,Soldering,,,
Hollow Core Muskie,Creating a hollow core helps keep large carvings manageable,"Weiss, Charles","Weiss, George",,34,Spring,2006,62-63,Fish,Muskie,Trophy,Hollow Core,,
Realistic Eagle Bust,"Designed as a cane topper, this majestic eagle could easily be enlarged for a full-size carving","Moore, Pat Mikula",,,34,Spring,2006,64-69,Eagle,Cane Topper,Walking Stick,Birds,,
Antique-Style Decoy Carving,Creating modern decoys with vintage appeal,"Matus, Tom",,,34,Spring,2006,70-73,Ducks,Antique,Eye,Birds,,
Jenga Block Bear,Simple tools and materials can produce great results,"Russell, Lavonne",,,34,Spring,2006,74,Carver's Challenge,Bears,Product Review,,,
Simple Carved Daisy,Easy techniques for enhancing your carving,"Yurka, John",,,34,Spring,2006,76-77,Daisy,Flowers,Habitat,,,
Miniature Carving on a Grand Scale,Exploring the similarities and differences between miniature and traditional carving,"McCaffery, Lloyd",,,34,Spring,2006,78-79,Ship Model,Miniature,Native American,,,
International Woodcarvers Congress,A gathering of today's top carvers,,,,34,Spring,2006,80-81,Davenport,Contests,Highlights,,,
Lacewood Rosebowl,Delicate details from nature adorn this hand carved gift fit for royalty,"Pye, Chris",,,34,Spring,2006,82,Leaves,Bowl,Wren,,,
Quick and Easy Mouth,Create a mouth in five easy steps,"Oegema, Jan",,,34,Spring,2006,96,Tips,Mouth,Realistic,,,
Woodcarving Basics,A brief introduction to the tools and terms of carving wood,Staff,,,341,Ultimate Carving Patterns Vol. 1,2006,38886,Tools,Cuts,Types,Wood,Safety,
Uncle Sam,,"Shipley, Mike","Kochan, Jack",,341,Ultimate Carving Patterns Vol. 1,2006,20-21,Caricatures,Patriotic,Uncle Sam,,,
Rock Singer,,"Leclair, Pete",,,341,Ultimate Carving Patterns Vol. 1,2006,22-23,Caricatures,Singer,Musician,,,
Scandinavian Backpacker,,"Refsal, Harley",,,341,Ultimate Carving Patterns Vol. 1,2006,24-25,Caricatures,Hiker,Scandinavian,,,
Pirate,,"Johnson, Skylar","Kochan, Jack",,341,Ultimate Carving Patterns Vol. 1,2006,26,Caricatures,eye patch,Eggs,,,
Bogie,,"Leclair, Pete",,,341,Ultimate Carving Patterns Vol. 1,2006,27,Caricatures,Head,Technique,,,
Keystone Cop,,"Toney, Tina",,,341,Ultimate Carving Patterns Vol. 1,2006,28-29,Caricatures,Policeman,Realistic,,,
Chicken,,"Toney, Tina",,,341,Ultimate Carving Patterns Vol. 1,2006,30,Caricatures,Birds,Eggs,,,
Eagle Bust,,"Kochan, Jack",,,341,Ultimate Carving Patterns Vol. 1,2006,32-33,Birds,Eagles,Open Mouth,,,
Ringneck Drake Decoy,,"Lucio, Jason",,,341,Ultimate Carving Patterns Vol. 1,2006,34-35,Birds,Ducks,Decoys,,,
Scarlet Macaw,,"Stiller, Gordon",,,341,Ultimate Carving Patterns Vol. 1,2006,36,Birds,Parrot,Caricatures,,,
Spotted Sandpiper,,"Stiller, Gordon",,,341,Ultimate Carving Patterns Vol. 1,2006,37,Birds,Shorebird,Realistic,,,
Hooded Merganser,,"Stiller, Gordon",,,341,Ultimate Carving Patterns Vol. 1,2006,38,Birds,Ducks,Decoys,,,
Cougar and Cubs,,"Hajny, Desiree","Kochan, Jack",,341,Ultimate Carving Patterns Vol. 1,2006,40-41,Realistic,Animals,Cougar,,,
Scratching Donkey,,"Hajny, Desiree","Kochan, Jack",,341,Ultimate Carving Patterns Vol. 1,2006,42-43,Realistic,Animals,Donkey,,,
Carousel Horse,,"Sharp, Pat","Ellis, Bud","Kochan, Jack",341,Ultimate Carving Patterns Vol. 1,2006,44-45,Realistic,Animals,Horses,Philadelphia Toboggan Company,,
Bison Bookends,,"Green, Don",,,341,Ultimate Carving Patterns Vol. 1,2006,46-47,Realistic,Animals,Bison,Buffalo,Book ends,
Native American,,"Cipa, Shawn",,,341,Ultimate Carving Patterns Vol. 1,2006,49-51,Plains-Style Tribe,Indians,Coupe Stick,,,
Spirit Lure,,"Fishgap, Alfie J",,,341,Ultimate Carving Patterns Vol. 1,2006,52,Fishing Lure,Native American,Indian,,,
Goodbye Kiss,,"Jensen, Rick","Kochan, Jack",,341,Ultimate Carving Patterns Vol. 1,2006,54-57,Santas,Mrs. Claus,Holiday,,,
Snowflake Santa,,"Shipley, Mike","Kochan, Jack",,341,Ultimate Carving Patterns Vol. 1,2006,58-59,Santas,Holiday,Caricatures,,,
Droopy Hat Santa,,"Cipa, Shawn",,,341,Ultimate Carving Patterns Vol. 1,2006,60-61,Santas,Holiday,Caricatures,,,
Welcome Santa,,"Toney, Tina",,,341,Ultimate Carving Patterns Vol. 1,2006,62-63,Santas,Welcome,Home Decor,,,
My Lil Goblin,,"Joslyn, Cyndi",,,341,Ultimate Carving Patterns Vol. 1,2006,64,Ghost,Halloween,Trick or Treat,,,
Quilt Squares,,"Joslyn, Cyndi",,,341,Ultimate Carving Patterns Vol. 1,2006,64,Relief Carving,Pins,Quilt,,,
Old Saw Mill,,"Troutman, Dean",,,341,Ultimate Carving Patterns Vol. 1,2006,65,Relief Carving,Landscape,Winter,,,
Covered Bridge Scene,,"Troutman, Dean",,,341,Ultimate Carving Patterns Vol. 1,2006,65,Relief Carving,Landscape,Bridge,,,
Celtic Knotwork,,"Cruze, Wayne",,,341,Ultimate Carving Patterns Vol. 1,2006,66,Relief Carving,Celtic,Knotwork,,,
Celtic Hearts,,"Cruze, Wayne",,,341,Ultimate Carving Patterns Vol. 1,2006,67,Relief Carving,Celtic,Knotwork,Hearts,,
Rustic Barn Scene,,"Irish, Lora S",,,341,Ultimate Carving Patterns Vol. 1,2006,68-69,Relief Carving,Landscape,Barn,,,
Bank Barn Scene,,"Irish, Lora S",,,341,Ultimate Carving Patterns Vol. 1,2006,70-71,Relief Carving,Landscape,Barn,,,
Woodspirit,,"Johnson, Skylar",,,341,Ultimate Carving Patterns Vol. 1,2006,72,Staff,Walking Stick,Woodspirit,,,
Dove Peace Cross,,"Moor, Dennis",,,341,Ultimate Carving Patterns Vol. 1,2006,74,Dove,Cross,Chip Carving,,,
Rosette,,"Moor, Dennis",,,341,Ultimate Carving Patterns Vol. 1,2006,75,Chip Carving,Classic,Pattern,,,
Mangle Board,,"Mckenzie, Barry",,,341,Ultimate Carving Patterns Vol. 1,2006,76-77,Chip Carving,Old World,Horses,,,
Angel Ornaments,,"Mckenzie, Barry",,,341,Ultimate Carving Patterns Vol. 1,2006,78,Chip Carving,Angels,Ornaments,,,
Foredom 50C Reciprocating Handpiece,Product Review,"Kochan, Jack",,,35,Summer,2006,14,Product Reviews,Foredom,Reciprocating Carver,,,
Judge's Critique,Progression of skills is evident in series of carvings,"Irish, Lora S",,,35,Summer,2006,16,Dragon,Critique,Tips,,,
Relief Column,Pintail Duck in Cattails,"Irish, Lora S",,,35,Summer,2006,18,Ducks,Relief Carving,Scenic,,,
Sculpting Raptors with Greg Woodard,Creating striking realism through a thorough knowledge of your subject matter,"Ryan, Kathleen","Woodard, Greg",,35,Summer,2006,20-23,Raptors,Birds,Birds of prey,Sculpture,,
Custom Honing Board,This easy-to-make shop aid is a great way to keep your gouges and V-tools in tip-top shape,"Irish, Lora S",,,35,Summer,2006,24-25,Sharpening,Honing,Shopmade,,,
Relief Carved Sunflower Clock,Simple techniques for a functional floral project,"Phillips, Charley",,,35,Summer,2006,26-31,Flowers,Clock,Relief Carving,,,
Carving Classic Bookends,Master architectural details by tackling the project in distinct sections,"Wilbur, Frederick",,,35,Summer,2006,32-39,Bookends,Architectural,Acanthus,Scales,,
Wood Engraving,Create detailed prints from carved wood,"Walker, George",,,35,Summer,2006,40-43,Print,Tree,Engraving,,,
Carving in the European-Style,Austrian-based school carries on the art of traditional European carving,Staff,Geisler-Moroder,,35,Summer,2006,44-45,Head,Bust,European,Krampus,Geisler-Moroder,
Fruit Pit Carvings,Amazing details in miniature carvings,"Shamey, Bob",,,35,Summer,2006,46-47,Pits,Unusual Materials,Miniatures,,,
Colorful Chip Carved Plaque,Use subtle color to highlight the details in this commemorative plaque,"Niggemeyer, John",,,35,Summer,2006,48-51,Chip Carving,Color,Baby announcement,Plaques,Angel,
Magical Fairy Keepsake Box,Delightful carving makes a thoughtful gift,"Call, Deborah L.",,,35,Summer,2006,52-59,Fairy,Quilt,Box,Folds,,
Custom Carved Hunting Credenza,Hand carved details bring a client's vision to life,"Mccoury, Brian","Evans, David","Cochenour, Bill",35,Summer,2006,60-63,Shotgun,Credenza,Gun,,,
Carving Realistic Habitat,Power carve a simple curled leaf to add depth and realism to your work,"Sabol, David",,,35,Summer,2006,64-69,Leaf,Acorn,Power Carving,Habitat,,
Muskellenge,Pattern project from Stiller Patterns,"Stiller, Gordon",,,35,Summer,2006,70-71,Fish,Muskie,Pattern,,,
Quick and Easy Ozark Caricature,Simple cuts bring this country caricature to life in no time,"Shipley, Mike",,,35,Summer,2006,72-77,Caricatures,Ozark,Hillbilly,,,
Shop-Made Holding Devices,Inexpensive methods for holding irregularly shaped carvings,"Schroeder, Roger",,,35,Summer,2006,78-79,Vise,Carver's Frame,Sandbag,Rope clamp,Bench hook,
Paint Mixing Record Chart,Teacher's Corner,"Corbett, Lori",,,35,Summer,2006,95-96,Painting,Records,Chart,Paint mixing,,
Product Review,Mastercarver Stealth Handpiece and Dremel Stylus,Staff,,,36,Fall,2006,14,mastercarver,stealth handpiece,Dremel,rotary tool,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Judge's Critique,Wren,"Corbett, Lori",,,36,Fall,2006,16,Birds,Wren,Critique,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Relief Column,Autumn Mouse,"Irish, Lora S",,,36,Fall,2006,18,Relief Carving,Mouse,Leaves,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Easy Carved Spoons,Ideal for introducing carving to beginners or whittling away an afternoon,"Courtea, Fran",,,36,Fall,2006,22,Spoons,Kids,Carver's Challenge,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Maple Leaf Pin,Power carve and paint this charming seasonal brooch,"Vermillion, Kenny","Saathoff, Carl",,36,Fall,2006,26-32,Leaves,Pins,Power Carving,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Brown Pelican,Stiller Patterns,"Stiller, Gordon","Stiller, Marsha",,36,Fall,2006,34-35,Waterfowl,Birds,Pelican,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
It's Me Frank,Monster caricature is a treat to carve,"Bishop, Vicki",,,36,Fall,2006,36-39,Frankenstein,Caricatures,Halloween,Monster,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Carving a Hen Wood Duck,Basic tools and techniques for an authentic antique-style hunting decoy,"Matus, Tom",,,36,Fall,2006,40-45,Decoy,Ducks,Birds,Waterfowl,Wood Duck,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Marvin Kaisersatt - Woodcarver of the Year,,Staff,"Kaisersatt, Marvin",,36,Fall,2006,46-49,Caricatures,Woodcarver of the Year,,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Relief-Carved Horse Portrait,Classic portrait makes a bold statement,"Troutman, Dean",,,36,Fall,2006,50-54,Relief Carving,Horse,Arrowhead,Feathers,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Anthony Hillman's Passion for Carving Waterfowl,Turning your interests into a career can be very rewarding,Staff,"Hillman, Anthony",,36,Fall,2006,55-57,Birds,Hillman,Waterfowl,Duck,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Patchwork Clock,Easy-to-Carve clock is a great beginner project,"Joslyn, Cyndi",,,36,Fall,2006,58-63,Clock,Beginners,Painting Techniques,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Chip-Carved Wedding Plate,"Decorative, personalized plate makes a beautiful wedding gift","Mckenzie, Barry",,,36,Fall,2006,64-67,Chip Carving,Plate,Personalized,Wedding gift,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Tools of the Trade,An introduction to the tools used in traditional woodcarving,"Pye, Chris",,,36,Fall,2006,68-73,Beginner,Tools,Chisels,Gouges,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Halloween Witch,Create this folk-style carving using only a hobby knife,"Costanza, Anthony",,,36,Fall,2006,74-78,Witch,Add-ons,Caricatures,Halloween,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Carve a Hobo,"A few tools, some paint, plus a little time gives this American icon","Maxwell, Jim","Maxwell, Margie",,36,Fall,2006,80-85,Hobo,Caricatures,Tips,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
The Work of Frank Feather,Traveling carver leaves a lasting and valuable legacy,"Meyers, Shawn",,,36,Fall,2006,86,Hobo,Antique,Eye,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Quick and Easy Folk Art Eye,Carve an eye in five simple steps,"Oegema, Jan",,,36,Fall,2006,96,Teacher's corner,Eye,Folk,Human,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-36-fall-2006.html
Product Review,"Olson 3/32"" Bandsaw Blades, Jones Handy Handle, and Style-Line Corp. Soft Sanders",Staff,,,37,Holiday,2006,14,Olson,bandsaw blades,jones enterprises,jones handy handle,style-line corp,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Judge's Critique,Folk Art Santa,"Cipa, Shawn","Goodman, Harold",,37,Holiday,2006,16,Santas,Critique,Folk Art,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Relief Column,Winter Cardinal,"Irish, Lora S",,,37,Holiday,2006,18,Birds,Cardinal,Relief Carving,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Northern Cardinal,,"Stiller, Gordon",,,37,Holiday,2006,20-21,Birds,Pattern Profiles,Cardinal,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Happy Santa,The compact styling of this smiling fellow makes him an ideal project for beginners,"Toney, Tina",,,37,Holiday,2006,24-26,Santas,Pattern Profiles,Jolly,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Chip Carved Golf Balls,Display these striking ornaments individually or in their own custom cage clock,"Braunberger, Sharon","Dugan, Elaine",,37,Holiday,2006,28-31,Golf balls,Clock,Chip Carving,Cage,Ornaments,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Santa Claus,Classic Santa face makes a perfect winter welcome,"Ramsay, Les",,,37,Holiday,2006,32-37,Santas,Face,Relief Carving,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Rolling Caricature Animals,Easy-to-carve critters are delightfully mobile,"Hajny, Desiree",,,37,Holiday,2006,38-45,Horse,Bison,Elephant,Caricatures,Animals,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Santa with Cardinal,Wood bleach techniques make painting a snap,"Bishop, Vicki",,,37,Holiday,2006,46-48,Santas,Bleach,Cardinal,Blue,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Tuning Your Tools,The basics of getting your tools into the best condition for carving and keeping them there,"Pye, Chris",,,37,Holiday,2006,49-53,Sharpening,Bevel,Angle,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Folk Art Angel Tree Topper,Hand carve an instant family heirloom,"Cipa, Shawn",,,37,Holiday,2006,54-59,Angels,Relief Carving,Tree-topper,Star,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
The Art of Ken Newman,Sculpting respect for wood and nature,"Newman, Ken",,,37,Holiday,2006,60-63,Gallery,Wildlife,Nature,Sculpture,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
2005 Santa Carving Contest,Wayne Shinlever's Santa takes home the top prize,Staff,,,37,Holiday,2006,64-69,Santas,Contests,Woodcraft,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
A Christmas Story Leg Lamp,Nostalgic lamp will become and instant conversation starter,"Burton, Mike",,,37,Holiday,2006,70-74,Lamp,Leg,Light,Christmas Story,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Painting a Hen Wood Duck,Use blending techniques for an antique-style finish,"Matus, Tom",,,37,Holiday,2006,75-77,Ducks,decoy,Painting Techniques,Antique,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Chip Carved Angel Ornaments,"Carve through painted blanks for an easy, yet beautiful project","Mckenzie, Barry",,,37,Holiday,2006,78-79,Angels,Chip Carving,Ornaments,Christmas,Painted,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Santa Lamp Finial,A charming way to show off your seasonal carvings,"Brown, Steve","Fulks, Judy",,37,Holiday,2006,80-83,Santas,Finial,Lamp,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Herby's Angel,Easy-to-carve figure is a Holiday delight,"McLeod, Paul","Ham, Herby",,37,Holiday,2006,84-85,Angels,Beginners,Book,Roughout,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Teacher's Corner,Quick and Easy Ear,"Oegema, Jan",,,37,Holiday,2006,96,Ear,Folk Art,Facial features,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-37-holiday-2006.html
Product Review,JoolTool Sharpening System,"Matus, Tom",,,38,Spring,2007,14,JoolTool,Product Review,Tools,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Largemouth Bass,Judge's Critique,"McKenzie, Ray","Archie, Al",,38,Spring,2007,18,Fish,Critique,bass,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Relief Column,Maple Leaf Greenman,"Irish, Lora S",,,38,Spring,2007,20,Greenman,Relief Carving,leaves,Woodspirit,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Celebrating 15 Years of Craftsmanship in Wood,Open House,Staff,,,38,Spring,2007,22-23,Woodcarver of the Year,Classes,Totem,Chainsaw,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Carved Garden Chair,Customize this sturdy chair with your own relief carved design,"Oegema, Jan",,,38,Spring,2007,26,Chair,Furniture,Relief Carving,Greenman,Woodspirit,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
The Design Process,Taking a caricature from concept to completion,"Kaisersatt, Marv",,,38,Spring,2007,28-29,Caricatures,Design,Armature,Pipecleaners,Clay,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Chip Carved Landscape,Free-form chip carving enhances natural wood grain,"Mckenzie, Barry",,,38,Spring,2007,30-31,Chip Carving,Tree,Landscape,Freeform,birds,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Realistic Rabbit,Texturing techniques bring this adorable rabbit to life,"Wachter, Leah",,,38,Spring,2007,32-37,Rabbit,Fur,Textures,bunny,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
GM's Fisher Body Craftman's Guild,Carving out a career in the design world - 1950's style,"Jacobus, John",,,38,Spring,2007,38-41,Cars,Automobile,Models,Contest,Design,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Recreating a Masterpiece,Turn-of-the-century table inspires a life-long love of carving three generations later,"Jones, Jeff",,,38,Spring,2007,42-43,Table,Griffon,Wings,Antique,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Carving the Ball &amp; Claw,Sequential carving helps you duplicate this traditional furniture element,"Burton, Mike",,,38,Spring,2007,44-47,Furniture,foot,Ball &amp; Claw,Leg,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Native American Bust,Portraying character with distinctive facial features,"Gargac, Mark",,,38,Spring,2007,48-55,Indian,Native American,Bottle stopper,Bust,Head,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Hand Carved Classics,Practice your knife carving with chain links and a ball-in-cage,"Weaver, Kivel",,,38,Spring,2007,56-57,Chain,Ball in cage,Whittling,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Cottonwood Bark Viking,Rugged features make this warrior the perfect subject for bark carving,"Jensen, Rick","Draper, Monte",,38,Spring,2007,58-63,Bark Carving,Viking,Face,Horns,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
The Netsuke Carvings of Cornel Schneider,Detailed carvings demonstrate a love of nature,"Schneider, Cornel",,,38,Spring,2007,64-67,Frogs,Lizards,Miniatures,Netsuke,violin,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Setting Up Shop,"A carver needs more than sharp tools; the workspace, bench, and lighting are equally important","Pye, Chris",,,38,Spring,2007,68-73,Workshop,Workstation,Holding devices,wood,Tools and equipment,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Carving Habitat: Twig,Power carve highly detailed branches tailored to showcase your carving,"Vermillion, Kenny","Saathoff, Carl",,38,Spring,2007,74-77,Habitat,Twig,Branch,Power Carving,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Antler Sculpture by Bill Matz,Facsinating medium produces unique carvings,"Matz, Bill",,,38,Spring,2007,78-80,Antler,Moose,Wildlife,Power Carving,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Relief Carve a Whimsical House,Power tools speed up the carving process and add unique texture,"Cline, Jim",,,38,Spring,2007,81-85,Relief Carving,House,Trees,Texture,Power Carving,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Clean Joint Lines for Relief Carvers,Teacher's Corner,"Irish, Lora S",,,38,Spring,2007,96,Relief Carving,Joints,Tips,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-38-spring-2007.html
Product Review,Jerry-Rig 360º Mount and Henkel Consumer Adhesives PL Fix 2-part wood repair kit,"Pye, Chris","Duncan, Bob",,39,Summer,2007,14,Jerry Rig,work positioner,Henkel Consumer,wood repair kit,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Relief Column,Eagle Plaque,"Irish, Lora S",,,39,Summer,2007,16,Relief Carving,Eagles,Plaque,Personalized,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
